呼称,線種,計算断面積(mm2),組成_本数,組成_素数,外径(mm),単位重量(N/m),単位重量(kgf/m),ヨリ込率(%),電気抵抗(Ω/km at 20℃),抵抗温度係数(/℃),許容温度_連続(t)℃,許容温度_瞬時(℃),線密度(g/cm2),比熱(J/g℃),熱容量(J/cm℃),熱放散係数（風速0.5周囲温度35℃）_放射(W/cm℃),熱放散係数（風速0.5周囲温度35℃）_伝導対流(W/cm℃),熱放散係数（風速0.5周囲温度35℃）_総係数日射0.07(W/cm℃),熱放散係数（風速0.5周囲温度35℃）_連続許容電流(A),熱放散係数（風速0.5周囲温度40℃）_放射(W/cm℃),熱放散係数（風速0.5周囲温度40℃）_伝導対流(W/cm℃),熱放散係数（風速0.5周囲温度40℃）_総係数日射0.10(W/cm℃),熱放散係数（風速0.5周囲温度40℃）_連続許容電流(A),破壊強さ(N/m2×10-6),破壊強さ(kgf/mm2),破壊強度(kN),破壊強度(kgf),安全率,許容荷重(kN),許容荷重(kgf),弾性係数(N/m2 ×109),弾性係数(kgf/mm2),線膨張係数×10-6,風圧荷重_甲種(N/m),風圧荷重_乙種(N/m),風圧荷重_丙種(N/m),被氷垂直荷重(N/m),合成荷重_甲種(N/m),合成荷重_乙種(N/m),合成荷重_丙種(N/m),風圧荷重_甲種(kgf/m),風圧荷重_乙種(kgf/m),風圧荷重_丙種(kgf/m),被氷垂直荷重(kgf/m),合成荷重_甲種(kgf/m),合成荷重_乙種(kgf/m),合成荷重_丙種(kgf/m),標準長さ
GT-170,溝付硬銅トロリ線,170.00 ,,,15.49 ,14.82 ,1.5113 ,,0.1040 ,0.00383 ,90,200,8.89 ,0.385 ,5.8185,0.000862241,0.001589 ,0.002001 ,630,0.000880567,0.001588 ,0.001807 ,570,340,34.7 ,57.8 ,"5,900",2.2,26.3,"2,680",117.6,"12,000",17.0 ,15.2 ,13.4 ,7.6 ,18.4 ,21.2 ,22.8 ,16.7 ,1.55 ,1.37 ,0.77 ,1.88 ,2.16 ,2.33 ,1.70 ,_1000_1500
GT-110,溝付硬銅トロリ線,111.10 ,,,12.34 ,9.69 ,0.9877 ,,0.1592 ,0.00383 ,90,200,8.89 ,0.385 ,3.8026,0.000862241,0.001781 ,0.002192 ,480,0.000880567,0.001779 ,0.001999 ,430,344,35.1 ,38.2 ,"3,900",2.2,17.3,"1,770",117.6,"12,000",17.0 ,12.1 ,12.0 ,6.1 ,12.7 ,15.5 ,17.5 ,11.5 ,1.23 ,1.22 ,0.62 ,1.30 ,1.58 ,1.78 ,1.17 ,_500_1000_1500
GT-85,溝付硬銅トロリ線,87.09 ,,,11.00 ,7.59 ,0.7742 ,,0.2030 ,0.00383 ,90,200,8.89 ,0.385 ,2.9808,0.000862241,0.001886 ,0.002297 ,410,0.000880567,0.001884 ,0.002104 ,370,348,35.5 ,30.3 ,"3,090",2.2,13.7,"1,400",117.6,"12,000",17.0 ,10.8 ,11.3 ,5.4 ,10.4 ,13.2 ,15.3 ,9.3 ,1.10 ,1.15 ,0.55 ,1.06 ,1.35 ,1.56 ,0.95 ,_500_1000
GT-M-170,溝付硬銅トロリ線（異型丸型）,172.20 ,,,15.30 ,15.01 ,1.5309 ,,0.1027 ,0.00383 ,90,200,8.89 ,0.385 ,5.8938,0.000862241,0.001599 ,0.002011 ,630,0.000880567,0.001598 ,0.001817 ,570,336,34.3 ,57.9 ,"5,910",2.2,26.4,"2,690",117.6,"12,000",17.0 ,15.0 ,13.4 ,7.6 ,18.5 ,21.2 ,22.8 ,16.8 ,1.53 ,1.37 ,0.77 ,1.89 ,2.16 ,2.33 ,1.71 ,_500_1000_1500
GT-T-170,溝付硬銅トロリ線（異型縦型）,170.40 ,,,19.80 ,14.86 ,1.5149 ,,0.1037 ,0.00383 ,90,200,8.89 ,0.385 ,5.8322,0.000862241,0.001406 ,0.001817 ,680,0.000880567,0.001404 ,0.001624 ,610,339,34.6 ,57.8 ,"5,900",2.2,26.3,"2,680",117.6,"12,000",17.0 ,19.4 ,15.6 ,9.7 ,19.1 ,24.4 ,24.7 ,17.7 ,1.98 ,1.59 ,0.99 ,1.95 ,2.49 ,2.52 ,1.81 ,_300
GT-T-110,溝付硬銅トロリ線（異型縦型）,120.70 ,,,15.70 ,10.52 ,1.0730 ,,0.1465 ,0.00383 ,90,200,8.89 ,0.385 ,4.1311,0.000862241,0.001579 ,0.001990 ,530,0.000880567,0.001577 ,0.001797 ,480,324,33.1 ,39.2 ,"4,000",2.2,17.8,"1,820",117.6,"12,000",17.0 ,15.4 ,13.6 ,7.7 ,14.1 ,18.6 ,19.6 ,13.0 ,1.57 ,1.39 ,0.79 ,1.44 ,1.90 ,2.00 ,1.33 ,_500
GT-AG-110,溝付銀入硬銅トロリ線（G合金）,111.10 ,,,12.34 ,9.69 ,0.9877 ,,0.1592 ,0.00381 ,90,300,8.89 ,0.385 ,3.8026,0.000862241,0.001781 ,0.002192 ,480,0.000880567,0.001779 ,0.001999 ,430,362,36.9 ,40.2 ,"4,100",2.2,18.2,"1,860",117.6,"12,000",17.0 ,12.1 ,12.0 ,6.1 ,12.7 ,15.5 ,17.5 ,11.5 ,1.23 ,1.22 ,0.62 ,1.30 ,1.58 ,1.78 ,1.17 ,_500_1000_1500
GT-AG-85,溝付銀入硬銅トロリ線（G合金）,87.09 ,,,11.00 ,7.59 ,0.7742 ,,0.2030 ,0.00381 ,90,300,8.89 ,0.385 ,2.9808,0.000862241,0.001886 ,0.002297 ,410,0.000880567,0.001884 ,0.002104 ,370,366,37.3 ,31.8 ,"3,250",2.2,14.5,"1,480",117.6,"12,000",17.0 ,10.8 ,11.3 ,5.4 ,10.4 ,13.2 ,15.3 ,9.3 ,1.10 ,1.15 ,0.55 ,1.06 ,1.35 ,1.56 ,0.95 ,_500_1000
GT-Sn-170,溝付錫入硬銅トロリ線（Sn合金）,169.70 ,,,15.49 ,14.77 ,1.5060 ,,0.1451 ,0.00300 ,90,300,8.89 ,0.385 ,5.8082,0.000862241,0.001589 ,0.002001 ,550,0.000880567,0.001588 ,0.001807 ,500,347,35.4 ,58.9 ,"6,010",2.2,26.8,"2,730",117.6,"12,000",17.0 ,15.2 ,13.4 ,7.6 ,18.3 ,21.2 ,22.7 ,16.6 ,1.55 ,1.37 ,0.77 ,1.87 ,2.16 ,2.32 ,1.69 ,_500_1000_1500
GT-Sn-110,溝付錫入硬銅トロリ線（Sn合金）,110.80 ,,,12.34 ,9.63 ,0.9820 ,,0.2223 ,0.00300 ,90,300,8.89 ,0.385 ,3.7923,0.000862241,0.001781 ,0.002192 ,410,0.000880567,0.001779 ,0.001999 ,370,363,37.0 ,40.2 ,"4,100",2.2,18.2,"1,860",117.6,"12,000",17.0 ,12.1 ,12.0 ,6.1 ,12.4 ,15.4 ,17.5 ,11.4 ,1.23 ,1.22 ,0.62 ,1.26 ,1.57 ,1.78 ,1.16 ,_500_1000_1500
